,id,last_scraped,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,city,state,zipcode,latitude,longitude
13,5435.0,2019-03-07,Manhattan,Upper West Side,Manhattan,New York,NY,10025,40.80155,-73.97
96,20311.0,2019-03-07,Brooklyn,Prospect Heights,Brooklyn,Brooklyn,NY,11238,40.67206,-73.96344
132,27024.0,2019-03-07,Chelsea,Chelsea,Manhattan,New York,NY,10001,40.74968,-74.00052
268,62264.0,2019-03-07,Williamsburg,Williamsburg,Brooklyn,Brooklyn,NY,11211,40.72159,-73.96018000000002
324,70381.0,2019-03-07,Soho,SoHo,Manhattan,New York,NY,10013,40.72195,-74.00356
396,106906.0,2019-03-07,Clinton Hill,Clinton Hill,Brooklyn,Brooklyn,NY,11238,40.68625,-73.96719
455,145777.0,2019-03-07,Brooklyn,Carroll Gardens,Brooklyn,Brooklyn,NY,11231,40.67973,-73.99797
534,180653.0,2019-03-07,Inwood,Inwood,Manhattan,New York,NY,10034,40.86883,-73.92126
543,185478.0,2019-03-06,Brooklyn,Fort Greene,Brooklyn,Brooklyn,NY,11205,40.69155,-73.97023
546,187671.0,2019-03-07,Manhattan,East Village,Manhattan,New York,NY,10009,40.73066,-73.98149000000002
573,198629.0,2019-03-06,Harlem,East Harlem,Manhattan,New York,NY,10029,40.78983,-73.94759
574,198786.0,2019-03-07,Upper West Side,Upper West Side,Manhattan,New York,NY,10023,40.779,-73.98533
596,209422.0,2019-03-07,East Village,East Village,Manhattan,New York,NY,10003,40.72609,-73.98976
632,226334.0,2019-03-07,Lower East Side,Chinatown,Manhattan,New York,NY,10002,40.71643,-73.99108000000003
663,237162.0,2019-03-07,Queens,Richmond Hill,Queens,Queens,NY,11418,40.70154,-73.83102
676,242479.0,2019-03-07,Astoria,Astoria,Queens,Queens,NY,11103,40.76313,-73.91565
687,246896.0,2019-03-07,Clinton Hill,Clinton Hill,Brooklyn,Brooklyn,NY,11238,40.68055,-73.96112
690,247562.0,2019-03-07,Richmond Hill,Richmond Hill,Queens,Queens,NY,11418,40.70014000000001,-73.83015
805,276120.0,2019-03-07,Upper West Side,Upper West Side,Manhattan,New York,NY,10023,40.77873,-73.98465999999998
850,288043.0,2019-03-06,West Village,West Village,Manhattan,New York,NY,10014,40.73891,-74.0086
1039,399640.0,2019-03-07,Lower East Side,Lower East Side,Manhattan,New York,NY,10002,40.71958,-73.99214
1064,413282.0,2019-03-06,Brooklyn,Williamsburg,Brooklyn,Brooklyn,NY,11211,40.71338,-73.95759
1109,442118.0,2019-03-07,Harlem,Harlem,Manhattan,New York,NY,10026,40.80189,-73.95825
1233,501805.0,2019-03-07,Brooklyn,Boerum Hill,Brooklyn,Brooklyn,NY,11217,40.68595,-73.98406999999997
1249,505716.0,2019-03-06,Lower East Side,East Village,Manhattan,New York,NY,10002,40.72257000000001,-73.98711999999998
1307,531460.0,2019-03-07,Brooklyn,East Flatbush,Brooklyn,Brooklyn,NY,11203,40.64953,-73.93239
1355,559239.0,2019-03-07,Manhattan,Two Bridges,Manhattan,New York,NY,10038,40.7117,-73.99765
1367,566755.0,2019-03-07,Harlem,Harlem,Manhattan,New York,NY,10027,40.80833,-73.94306
1430,596391.0,2019-03-06,Manhattan,Chelsea,Manhattan,New York,NY,10011,40.74748,-74.0057
1435,599336.0,2019-03-07,Manhattan,Washington Heights,Manhattan,New York,NY,10032,40.84373,-73.93562
1523,647598.0,2019-03-07,Alphabet City,East Village,Manhattan,New York,NY,10002,40.72201,-73.97728000000002
1547,657161.0,2019-03-07,Brooklyn,Williamsburg,Brooklyn,Brooklyn,NY,11211,40.71259000000001,-73.95572
1551,657734.0,2019-03-07,Bedford-Stuyvesant,Bedford-Stuyvesant,Brooklyn,Brooklyn,NY,11233,40.68248,-73.92246
1593,682032.0,2019-03-07,Maspeth,Maspeth,Queens,Queens,NY,11378,40.72643,-73.90513
1605,687964.0,2019-03-07,Manhattan,East Village,Manhattan,New York,NY,10009,40.72828,-73.98324000000002
1628,697788.0,2019-03-07,Brooklyn,Park Slope,Brooklyn,Brooklyn,NY,11215,40.67407,-73.97416
1640,699598.0,2019-03-07,East Village,East Village,Manhattan,New York,NY,10009,40.72729,-73.98244
1722,739930.0,2019-03-07,Greenwich Village,Greenwich Village,Manhattan,New York,NY,10003,40.73007,-73.99624
1789,763833.0,2019-03-07,Manhattan,East Village,Manhattan,New York,NY,10003,40.73222,-73.9902
1790,763881.0,2019-03-07,Manhattan,East Village,Manhattan,New York,NY,10003,40.7319,-73.98954
1791,763912.0,2019-03-07,East Village,East Village,Manhattan,New York,NY,10003,40.72992,-73.99011999999998
1792,763932.0,2019-03-07,Manhattan,East Village,Manhattan,New York,NY,10003,40.73011,-73.98793
1793,763956.0,2019-03-07,Manhattan,East Village,Manhattan,New York,NY,10003,40.7322,-73.98949
1794,763962.0,2019-03-07,East Village,East Village,Manhattan,New York,NY,10003,40.73217,-73.9884
1803,766699.0,2019-03-07,Brooklyn,Williamsburg,Brooklyn,Brooklyn,NY,11211,40.71812,-73.95985999999998
1806,766973.0,2019-03-07,Hamilton Heights,Harlem,Manhattan,New York,NY,10031,40.82378,-73.95451
1820,771430.0,2019-03-07,Bedford-Stuyvesant,Bedford-Stuyvesant,Brooklyn,Brooklyn,NY,11216,40.68604000000001,-73.9527
1851,783911.0,2019-03-07,Manhattan,Upper East Side,Manhattan,New York,NY,10128,40.78115,-73.95331999999998
1870,789302.0,2019-03-06,Manhattan,West Village,Manhattan,New York,NY,10014,40.74049,-74.00514
1882,793610.0,2019-03-07,Manhattan,East Village,Manhattan,New York,NY,10009,40.72274,-73.98156
1903,798100.0,2019-03-07,Greenwich Village,Greenwich Village,Manhattan,New York,NY,10012,40.72725,-73.99991999999997
1913,800918.0,2019-03-07,Chelsea,Chelsea,Manhattan,New York,NY,10011,40.7443,-73.99724
1972,819270.0,2019-03-06,Williamsburg,Williamsburg,Brooklyn,Brooklyn,NY,11211,40.71703,-73.9527
2057,846655.0,2019-03-07,Manhattan,Greenwich Village,Manhattan,New York,NY,10012,40.72858,-73.99893
2169,898534.0,2019-03-06,Brooklyn,Williamsburg,Brooklyn,Brooklyn,NY,11211,40.71003,-73.96409
2290,984655.0,2019-03-07,Kensington,Kensington,Brooklyn,Brooklyn,NY,11218,40.64154,-73.97466
2391,1058606.0,2019-03-07,Brooklyn,Bedford-Stuyvesant,Brooklyn,Brooklyn,NY,11233,40.68554,-73.93425
2423,1082406.0,2019-03-06,Harlem,East Harlem,Manhattan,New York,NY,10029,40.79406,-73.94309
2426,1085916.0,2019-03-06,Manhattan,Murray Hill,Manhattan,New York,NY,10016,40.74751,-73.97436
2433,1089994.0,2019-03-07,Midtown,Midtown,Manhattan,New York,NY,10018,40.75234,-73.98539
2458,1108893.0,2019-03-06,Midtown,Midtown,Manhattan,New York,NY,10017,40.75393,-73.97483000000003
2566,1183620.0,2019-03-07,Manhattan,Chinatown,Manhattan,New York,NY,10002,40.71493,-73.99034
2570,1185644.0,2019-03-07,Manhattan,Nolita,Manhattan,New York,NY,10012,40.72182,-73.99449
2610,1221511.0,2019-03-07,Queens,Astoria,Queens,Astoria,NY,11102,40.77143,-73.92223
2630,1237275.0,2019-03-06,Williamsburg,Williamsburg,Brooklyn,Brooklyn,NY,11211,40.71358,-73.95063
2712,1307930.0,2019-03-07,Manhattan,Lower East Side,Manhattan,New York,NY,10003,40.71792,-73.98604
2778,1351690.0,2019-03-07,Brooklyn,Flatbush,Brooklyn,Brooklyn,NY,11226,40.65268,-73.96484
2796,1365597.0,2019-03-07,Upper West Side,Upper West Side,Manhattan,New York,NY,10023,40.78008,-73.98416999999998
2816,1393994.0,2019-03-07,Manhattan,Greenwich Village,Manhattan,New York,NY,10011,40.73352,-73.99738
2861,1433326.0,2019-03-07,Brooklyn,Williamsburg,Brooklyn,Brooklyn,NY,11249,40.7136,-73.96448000000002
2881,1454427.0,2019-03-07,Lower East Side,Lower East Side,Manhattan,New York,NY,10003,40.72031,-73.98583
2892,1461822.0,2019-03-07,Crown Heights,Crown Heights,Brooklyn,Brooklyn,NY,11216,40.67543,-73.95611
2930,1486963.0,2019-03-07,Brooklyn,Bedford-Stuyvesant,Brooklyn,Brooklyn,NY,11205,40.68999,-73.95461
2937,1493521.0,2019-03-06,Bushwick,Bushwick,Brooklyn,Brooklyn,NY,11237,40.70317,-73.92845
2943,1502018.0,2019-03-06,Brooklyn,Williamsburg,Brooklyn,Brooklyn,NY,11206,40.70655,-73.93992
2955,1516048.0,2019-03-06,Brooklyn,Bushwick,Brooklyn,Brooklyn,NY,11207,40.68349,-73.90655
2961,1521091.0,2019-03-07,Brooklyn,Bushwick,Brooklyn,Brooklyn,NY,11207,40.68333,-73.90881
2983,1541244.0,2019-03-07,Queens,Forest Hills,Queens,Queens,NY,11375,40.71566,-73.83515
2986,1546380.0,2019-03-07,Manhattan,Gramercy,Manhattan,New York,NY,10003,40.73546,-73.98295
3007,1574828.0,2019-03-06,Brooklyn,Bushwick,Brooklyn,Brooklyn,NY,11207,40.68381,-73.90661999999998
3016,1583985.0,2019-03-07,Bushwick,Bushwick,Brooklyn,Brooklyn,NY,11237,40.70617,-73.91832
3061,1631938.0,2019-03-07,Brooklyn,Prospect Heights,Brooklyn,Brooklyn,NY,11238,40.68142,-73.97
3069,1639762.0,2019-03-07,Kips Bay,Kips Bay,Manhattan,New York,NY,10010,40.73897,-73.98104000000002
3071,1644103.0,2019-03-07,Brooklyn,Carroll Gardens,Brooklyn,Brooklyn,NY,11231,40.68003,-73.99719
3114,1672433.0,2019-03-06,Manhattan,Chelsea,Manhattan,New York,NY,10011,40.74524,-73.99879
3165,1712895.0,2019-03-06,Midtown,Midtown,Manhattan,New York,NY,10035,40.75263,-73.98128
3194,1737891.0,2019-03-07,Manhattan,Nolita,Manhattan,New York,NY,10002,40.72275,-73.99434000000002
3309,1835728.0,2019-03-07,Forest Hills,Forest Hills,Queens,Queens,NY,11375,40.73497,-73.8533
3479,1953816.0,2019-03-06,Brooklyn,Crown Heights,Brooklyn,Brooklyn,NY,11238,40.67021,-73.96015
3538,1984543.0,2019-03-06,Brooklyn,Williamsburg,Brooklyn,Brooklyn,NY,11211,40.71894,-73.9572
3589,2018602.0,2019-03-07,Manhattan,East Harlem,Manhattan,New York,NY,10029,40.79246,-73.95062
3672,2063922.0,2019-03-07,Queens,Astoria,Queens,Queens,NY,11106,40.75912,-73.92689
3679,2067928.0,2019-03-07,Manhattan,Harlem,Manhattan,New York,NY,10026,40.79908,-73.95161999999998
3919,2210281.0,2019-03-07,Harlem,Morningside Heights,Manhattan,New York,NY,10027,40.81059000000001,-73.9565
3959,2237495.0,2019-03-07,Bushwick,Bushwick,Brooklyn,Brooklyn,NY,11206,40.69979,-73.93183
4049,2285167.0,2019-03-06,Manhattan,Upper East Side,Manhattan,New York,NY,10028,40.77516,-73.9504
4073,2298731.0,2019-03-07,Midtown,Hell's Kitchen,Manhattan,New York,NY,10001,40.75613,-73.99761
4084,2307885.0,2019-03-07,Manhattan,Chelsea,Manhattan,New York,NY,10011,40.73881,-73.99439
4096,2314556.0,2019-03-07,Upper West Side,Upper West Side,Manhattan,New York,NY,10025,40.8015,-73.96391
4108,2328123.0,2019-03-07,Bedford-Stuyvesant,Bedford-Stuyvesant,Brooklyn,Brooklyn,NY,11221,40.6835,-73.93812
4121,2342930.0,2019-03-06,Manhattan,Chelsea,Manhattan,New York,NY,10001,40.7477,-73.9924
4122,2344112.0,2019-03-06,Brooklyn,Williamsburg,Brooklyn,Brooklyn,NY,11237,40.70562,-73.92945999999998
4146,2372540.0,2019-03-07,Crown Heights,Crown Heights,Brooklyn,Brooklyn,NY,11216,40.67463,-73.95281
4180,2420198.0,2019-03-07,Brooklyn,Bushwick,Brooklyn,Brooklyn,NY,11237,40.70646,-73.91982
4233,2467814.0,2019-03-07,Manhattan,Morningside Heights,Manhattan,New York,NY,10027,40.80859,-73.9582
4257,2495241.0,2019-03-07,Brooklyn,Park Slope,Brooklyn,Brooklyn,NY,11215,40.66861,-73.98286
4304,2537745.0,2019-03-07,Williamsburg,Williamsburg,Brooklyn,Brooklyn,NY,11211,40.71189,-73.95469
4308,2543343.0,2019-03-07,Staten Island,St. George,Staten Island,Staten Island ,NY,10301,40.64689,-74.08747
4315,2552938.0,2019-03-07,East Village,East Village,Manhattan,New York,NY,10003,40.72724,-73.98781
4322,2560624.0,2019-03-07,Hamilton Heights,Harlem,Manhattan,New York,NY,10031,40.83051,-73.95014
4330,2566238.0,2019-03-07,Manhattan,Upper East Side,Manhattan,New York,NY,10128,40.781,-73.9539
4346,2589917.0,2019-03-07,Queens,Ditmars Steinway,Queens,Queens,NY,11105,40.77378,-73.90213
4400,2653259.0,2019-03-07,Flatbush,Flatbush,Brooklyn,Brooklyn,NY,11226,40.65102,-73.96384
4425,2674784.0,2019-03-07,Brooklyn,Windsor Terrace,Brooklyn,Brooklyn,NY,11215,40.65912,-73.97766
4426,2676352.0,2019-03-06,Midtown East,Murray Hill,Manhattan,New York,NY,10016,40.74933,-73.97725
4444,2691063.0,2019-03-06,Manhattan,East Village,Manhattan,New York,NY,10003,40.7249,-73.99027
4447,2695042.0,2019-03-07,Long Island City,Long Island City,Queens,Long Island city ,NY,11101,40.74332,-73.94966
4454,2699454.0,2019-03-06,Manhattan,Midtown,Manhattan,New York,NY,10022,40.7549,-73.96729
4558,2817302.0,2019-03-06,Manhattan,Murray Hill,Manhattan,New York,NY,10016,40.74438,-73.9714
4833,3133157.0,2019-03-07,Lower East Side,Lower East Side,Manhattan,New York,NY,10002,40.71171,-73.98995
4873,3181834.0,2019-03-07,Manhattan,Flatiron District,Manhattan,New York,NY,10011,40.74104000000001,-73.98772
4874,3185718.0,2019-03-07,Lefferts Garden,Prospect-Lefferts Gardens,Brooklyn,Brooklyn,NY,11225,40.65981,-73.9597
4876,3185840.0,2019-03-07,Flatbush,Prospect-Lefferts Gardens,Brooklyn,Brooklyn,NY,11225,40.65707,-73.96092
4882,3194229.0,2019-03-07,Manhattan,East Village,Manhattan,New York,NY,10009,40.72437,-73.97809000000002
4922,3220443.0,2019-03-07,Manhattan,East Village,Manhattan,New York,NY,10009,40.72257000000001,-73.97779
5006,3302333.0,2019-03-07,Upper West Side,Upper West Side,Manhattan,New York,NY,10025,40.79661,-73.972
5088,3377725.0,2019-03-06,Manhattan,Hell's Kitchen,Manhattan,New York,NY,10018,40.75803,-73.99223
5136,3415958.0,2019-03-07,Manhattan,Chinatown,Manhattan,New York,NY,10002,40.71363,-73.99368
5144,3424355.0,2019-03-07,Manhattan,Upper East Side,Manhattan,New York,NY,10128,40.7799,-73.94816999999998
5179,3455410.0,2019-03-07,West Village,West Village,Manhattan,New York,NY,10011,40.73643,-73.99929
5195,3468092.0,2019-03-06,Bedford-Stuyvesant,Bedford-Stuyvesant,Brooklyn,Brooklyn,NY,11238,40.67949,-73.95452
5268,3531850.0,2019-03-07,Fort Greene,Fort Greene,Brooklyn,Brooklyn,NY,11205,40.69352,-73.97305
5277,3534379.0,2019-03-07,Kips Bay,Kips Bay,Manhattan,New York,NY,10010,40.74034,-73.98216
5453,3667915.0,2019-03-06,Manhattan,Two Bridges,Manhattan,New York,NY,10002,40.71255,-73.99529
5473,3687880.0,2019-03-06,Manhattan,Harlem,Manhattan,New York,NY,10039,40.82629,-73.94035
5506,3713233.0,2019-03-07,Brooklyn,Crown Heights,Brooklyn,Brooklyn ,NY,11233,40.66923,-73.92388000000003
5577,3771687.0,2019-03-07,Brooklyn,Park Slope,Brooklyn,Brooklyn,NY,11215,40.67768,-73.98223
5641,3813292.0,2019-03-07,Chelsea,Chelsea,Manhattan,New York,NY,10011,40.7389,-73.99829
5720,3865784.0,2019-03-07,Harlem,Harlem,Manhattan,New York,NY,10030,40.81699,-73.94655999999998
5736,3876513.0,2019-03-07,East New York,East New York,Brooklyn,Brooklyn,NY,11208,40.66994,-73.87767
5774,3907279.0,2019-03-07,Manhattan,Hell's Kitchen,Manhattan,New York,NY,10018,40.75514,-73.99672
5777,3908088.0,2019-03-07,Clinton Hill,Clinton Hill,Brooklyn,Brooklyn,NY,11238,40.68473,-73.96174
5886,3984077.0,2019-03-07,Forest Hills,Forest Hills,Queens,Queens,NY,11375,40.73488,-73.85283000000003
5902,4003231.0,2019-03-07,Brooklyn,Crown Heights,Brooklyn,Brooklyn,NY,11216,40.67682,-73.95267
5904,4004684.0,2019-03-07,Brooklyn,Crown Heights,Brooklyn,Brooklyn,NY,11216,40.67501,-73.95260999999998
5910,4014004.0,2019-03-07,Harlem,Harlem,Manhattan,New York,NY,10031,40.83098,-73.95008
6013,4092010.0,2019-03-07,Manhattan,Greenwich Village,Manhattan,New York,NY,10012,40.73085,-74.00133000000002
6046,4125300.0,2019-03-07,Manhattan,Upper East Side,Manhattan,New York,NY,10128,40.77948,-73.94673
6162,4203524.0,2019-03-07,Brooklyn,Greenpoint,Brooklyn,Brooklyn,NY,11222,40.73251,-73.95633000000002
6192,4220732.0,2019-03-07,Brooklyn,Flatbush,Brooklyn,Brooklyn,NY,11226,40.65434000000001,-73.96059
6215,4235983.0,2019-03-07,Manhattan,Hell's Kitchen,Manhattan,New York,NY,10018,40.75476,-73.99636
6222,4243150.0,2019-03-07,Lower East Side,Lower East Side,Manhattan,New York,NY,10002,40.72089,-73.99247
6229,4244479.0,2019-03-07,Manhattan,Hell's Kitchen,Manhattan,New York,NY,10018,40.7561,-73.99826
6247,4261029.0,2019-03-06,Manhattan,Harlem,Manhattan,New York,NY,10031,40.828,-73.94949
6341,4324129.0,2019-03-07,Bedford-Stuyvesant,Bedford-Stuyvesant,Brooklyn,Brooklyn,NY,11216,40.68078,-73.9561
6346,4325538.0,2019-03-07,Manhattan,Chinatown,Manhattan,New York,NY,10013,40.71814000000001,-73.99622
6390,4358956.0,2019-03-07,Brooklyn,Williamsburg,Brooklyn,Brooklyn,NY,11237,40.70541,-73.92976999999998
6413,4376618.0,2019-03-07,Queens,Ditmars Steinway,Queens,"Astoria,New York ",NY,11105,40.7796,-73.9084
6414,4377221.0,2019-03-07,Ditmars / Steinway,Ditmars Steinway,Queens,"Astoria, New York ",NY,11105,40.77809,-73.90888000000002
6420,4379181.0,2019-03-07,Queens,Astoria,Queens,Queens,NY,11103,40.76459000000001,-73.90732
6465,4404951.0,2019-03-07,Harlem,East Harlem,Manhattan,New York,NY,10029,40.79584000000001,-73.94171
6636,4525308.0,2019-03-07,Carroll Gardens,Carroll Gardens,Brooklyn,Brooklyn,NY,11231,40.68175,-74.00018
6832,4642269.0,2019-03-06,Williamsburg,Williamsburg,Brooklyn,Brooklyn,NY,11249,40.71671,-73.96377
6943,4709568.0,2019-03-07,Chelsea,Chelsea,Manhattan,New York,NY,10011,40.74703,-74.00455
6944,4710066.0,2019-03-07,Harlem,Harlem,Manhattan,New York,NY,10039,40.82498,-73.93935
7070,4767537.0,2019-03-07,Chelsea,Chelsea,Manhattan,New York,NY,10001,40.7509,-73.9956
7151,4799970.0,2019-03-06,Brooklyn,Bedford-Stuyvesant,Brooklyn,Brooklyn,NY,11216,40.6879,-73.94985
7153,4801311.0,2019-03-07,Chinatown,Chinatown,Manhattan,New York,NY,10002,40.71372,-73.99245
7177,4813423.0,2019-03-07,Brooklyn,Prospect Heights,Brooklyn,Brooklyn,NY,11238,40.67408,-73.96547
7188,4820119.0,2019-03-07,Williamsburg,Williamsburg,Brooklyn,Brooklyn,NY,11211,40.70673,-73.95467
7249,4846122.0,2019-03-07,Brooklyn,Prospect Heights,Brooklyn,Brooklyn,NY,11238,40.68078,-73.97024
7332,4889629.0,2019-03-06,Manhattan,Financial District,Manhattan,New York,NY,10038,40.70576,-74.00761999999997
7391,4932310.0,2019-03-06,East Harlem,East Harlem,Manhattan,New York,NY,10029,40.79788,-73.93867
7394,4935612.0,2019-03-07,Brooklyn,Bushwick,Brooklyn,Brooklyn,NY,11206,40.69742,-73.93544
7401,4942107.0,2019-03-07,Manhattan,NoHo,Manhattan,New York,NY,10003,40.72797,-73.99234
7436,4969540.0,2019-03-07,Brooklyn,Bushwick,Brooklyn,Brooklyn,NY,11237,40.70416,-73.92022
7451,4981192.0,2019-03-06,DUMBO,Vinegar Hill,Brooklyn,Brooklyn,NY,11201,40.70102,-73.98302
7480,4996712.0,2019-03-06,Manhattan,Greenwich Village,Manhattan,New York,NY,10012,40.72769,-73.99561
7604,5114347.0,2019-03-07,Brooklyn,Bedford-Stuyvesant,Brooklyn,Brooklyn,NY,11221,40.68699,-73.93183
7622,5136621.0,2019-03-06,Brooklyn,Williamsburg,Brooklyn,Brooklyn,NY,11211,40.70808,-73.95369000000002
7631,5145759.0,2019-03-07,Chelsea,Chelsea,Manhattan,New York,NY,10001,40.74833,-73.99968
7636,5153123.0,2019-03-06,Manhattan,Hell's Kitchen,Manhattan,New York,NY,10036,40.76074000000001,-73.99457
7708,5248336.0,2019-03-07,East Village,East Village,Manhattan,New York,NY,10003,40.72794,-73.98528
7719,5260247.0,2019-03-07,Brooklyn,Williamsburg,Brooklyn,Brooklyn,NY,11249,40.71698,-73.96410999999998
7741,5284048.0,2019-03-06,Williamsburg,Williamsburg,Brooklyn,Brooklyn,NY,11211,40.71267,-73.94906999999998
7760,5298728.0,2019-03-07,Midtown,Hell's Kitchen,Manhattan,New York,NY,10018,40.75298,-73.99378
7776,5315955.0,2019-03-07,Brooklyn,Brooklyn Heights,Brooklyn,Brooklyn,NY,11201,40.70224,-73.99396
7824,5364627.0,2019-03-07,East Harlem,East Harlem,Manhattan,New York,NY,10035,40.80178,-73.93918000000002
8036,5598992.0,2019-03-07,Manhattan,Midtown,Manhattan,New York,NY,10016,40.74882,-73.98357
8070,5638572.0,2019-03-06,Brooklyn,Park Slope,Brooklyn,Brooklyn,NY,11217,40.67981,-73.97827
8151,5712663.0,2019-03-06,Rego Park,Rego Park,Queens,Queens,NY,11374,40.73025,-73.86688000000002
8197,5760832.0,2019-03-07,Brooklyn,Brighton Beach,Brooklyn,Brooklyn,NY,11235,40.57677,-73.96757
8394,5989927.0,2019-03-06,Kips Bay,Kips Bay,Manhattan,New York,NY,10016,40.7418,-73.98069
8522,6105742.0,2019-03-07,Manhattan,Upper East Side,Manhattan,New York,NY,10128,40.78111,-73.94795
8529,6108703.0,2019-03-07,Queens,Elmhurst,Queens,Queens,NY,11373,40.73258,-73.87309
8530,6113839.0,2019-03-06,Manhattan,West Village,Manhattan,New York,NY,10014,40.73468,-74.00308000000003
8594,6170845.0,2019-03-07,East New York,East New York,Brooklyn,Brooklyn ,NY,11207,40.66455,-73.89287
8654,6227971.0,2019-03-06,Manhattan,SoHo,Manhattan,New York,NY,10013,40.72104,-73.99765
8655,6227980.0,2019-03-06,Manhattan,SoHo,Manhattan,New York,NY,10013,40.72154000000001,-73.99896
8734,6282629.0,2019-03-07,Harlem,East Harlem,Manhattan,New York,NY,10037,40.81644,-73.9339
8818,6337024.0,2019-03-07,Manhattan,Murray Hill,Manhattan,New York,NY,10016,40.75025,-73.98011
8854,6362051.0,2019-03-07,Hamilton Heights,Harlem,Manhattan,New York,NY,10031,40.8288,-73.94933
8963,6426240.0,2019-03-07,Queens,Elmhurst,Queens,Elmhurst ,NY,11373,40.73236,-73.87510999999998
9065,6494312.0,2019-03-06,Manhattan,Inwood,Manhattan,New York,NY,10034,40.86902,-73.9182
9170,6589338.0,2019-03-07,Park Slope,South Slope,Brooklyn,Brooklyn,NY,11215,40.66918,-73.9864
9259,6645516.0,2019-03-06,Manhattan,Washington Heights,Manhattan,New York,NY,10033,40.85133,-73.94006
9345,6701577.0,2019-03-07,Astoria,Astoria,Queens,Queens,NY,11103,40.7664,-73.90455
9353,6703191.0,2019-03-07,Queens,Ridgewood,Queens,Queens,NY,11385,40.69772,-73.89787
9362,6706788.0,2019-03-07,Queens,Astoria,Queens,Queens,NY,11103,40.76419,-73.9069
9440,6758600.0,2019-03-06,Hamilton Heights,Harlem,Manhattan,New York,NY,10031,40.82605,-73.9494
9473,6778747.0,2019-03-07,Lower East Side,Chinatown,Manhattan,New York,NY,10002,40.71703,-73.99277
9595,6865222.0,2019-03-07,Harlem,Harlem,Manhattan,New York,NY,10030,40.81841,-73.94195
9757,6970441.0,2019-03-07,Brooklyn,Williamsburg,Brooklyn,Brooklyn,NY,11211,40.71412,-73.94959
9920,7070705.0,2019-03-07,Williamsburg,Williamsburg,Brooklyn,Brooklyn,NY,11249,40.71905,-73.95936999999998
10053,7181863.0,2019-03-07,Clifton,Concord,Staten Island,Staten Island,NY,10304,40.60979,-74.08661
10145,7254023.0,2019-03-07,Brooklyn,Greenpoint,Brooklyn,Brooklyn,NY,11222,40.72427,-73.9431
10153,7256216.0,2019-03-06,Brooklyn,Clinton Hill,Brooklyn,Brooklyn ,NY,11238,40.68501,-73.96238000000002
10205,7294049.0,2019-03-07,Brooklyn,Crown Heights,Brooklyn,Brooklyn ,NY,11213,40.66432,-73.9365
10242,7325889.0,2019-03-07,Astoria,Astoria,Queens,Queens,NY,11103,40.76284,-73.90706999999998
10450,7480229.0,2019-03-07,Harlem,Harlem,Manhattan,New York,NY,10031,40.82513,-73.94837
10611,7601924.0,2019-03-07,Brooklyn,Bedford-Stuyvesant,Brooklyn,Brooklyn,NY,11238,40.68354,-73.95678000000002
10617,7603341.0,2019-03-07,Manhattan,Washington Heights,Manhattan,New York,NY,10032,40.83138,-73.94126999999997
10678,7649846.0,2019-03-07,Brooklyn,Williamsburg,Brooklyn,Brooklyn,NY,11249,40.71715,-73.95911
10712,7665771.0,2019-03-07,Harlem,East Harlem,Manhattan,New York,NY,10029,40.79804,-73.94444
10727,7679047.0,2019-03-07,Brooklyn,Windsor Terrace,Brooklyn,Brooklyn,NY,11218,40.65058,-73.97306
10894,7776105.0,2019-03-07,Manhattan,Theater District,Manhattan,New York,NY,10036,40.7595,-73.98665
10961,7818358.0,2019-03-07,Brooklyn,East Flatbush,Brooklyn,Brooklyn,NY,11226,40.64631,-73.94762
11049,7871441.0,2019-03-06,Manhattan,Harlem,Manhattan,New York,NY,10030,40.81732,-73.94022
11086,7900546.0,2019-03-06,Tribeca,Tribeca,Manhattan,New York,NY,10013,40.7155,-74.00806999999998
11097,7905098.0,2019-03-06,Staten Island,St. George,Staten Island,Staten Island,NY,10301,40.64397,-74.08031
11170,7963444.0,2019-03-06,Upper East Side,Upper East Side,Manhattan,New York,NY,10128,40.77883,-73.9454
11201,7981579.0,2019-03-07,Brooklyn,Crown Heights,Brooklyn,Brooklyn ,NY,11213,40.67346,-73.94038
11232,8001790.0,2019-03-07,Brooklyn,Bensonhurst,Brooklyn,Brooklyn,NY,11204,40.61126,-73.98074
11235,8007182.0,2019-03-06,Williamsburg,Williamsburg,Brooklyn,Brooklyn,NY,11249,40.72007,-73.95615
11345,8105889.0,2019-03-07,Brooklyn,Crown Heights,Brooklyn,Brooklyn,NY,11213,40.67018,-73.935
11479,8211632.0,2019-03-07,Forest Hills,Forest Hills,Queens,Queens,NY,11375,40.72069000000001,-73.85181
11492,8223447.0,2019-03-06,Manhattan,East Village,Manhattan,New York,NY,10009,40.72385,-73.98482
11656,8365172.0,2019-03-07,Queens,Ditmars Steinway,Queens,Queens,NY,11105,40.77469,-73.90728
11678,8383833.0,2019-03-06,Brooklyn,Bedford-Stuyvesant,Brooklyn,Brooklyn,NY,11233,40.67941,-73.91272
11687,8389130.0,2019-03-06,Manhattan,Hell's Kitchen,Manhattan,New York,NY,10036,40.75834,-73.99328
11773,8456857.0,2019-03-07,Manhattan,Chelsea,Manhattan,New York,NY,10011,40.7444,-73.99432
11817,8501574.0,2019-03-07,Manhattan,Nolita,Manhattan,New York,NY,10013,40.7212,-73.99422
